solved,iterations,costs,minFeetError,PGain,DGain
True,107,2178,-0.0009791,0.0,20
True,58,2202,-0.0008966,0.1,20
True,129,2233,-0.000815,0.2,20
True,87,2271,-0.000734,0.30000000000000004,20
True,57,2317,-0.000653,0.4,20
True,77,2371,-0.0005848,0.5,20
True,102,2431,-0.0005617,0.6000000000000001,20
True,211,2499,-0.0005388,0.7000000000000001,20
True,85,2577,-0.0005169,0.8,20
True,57,2664,-0.0004972,0.9,20
False,499,2763,-0.0004796,1.0,20
True,85,2875,-0.0006161,1.1,20
True,79,2182,-0.0007138,0.0,30
True,73,2197,-0.0006953,0.1,30
True,59,2216,-0.0006772,0.2,30
True,131,2238,-0.0006594,0.30000000000000004,30
True,51,2263,-0.0006419,0.4,30
True,217,2292,-0.000625,0.5,30
True,49,2324,-0.0006085,0.6000000000000001,30
True,153,2359,-0.0005926,0.7000000000000001,30
False,499,2398,-0.0005769,0.8,30
True,74,2440,-0.0005611,0.9,30
True,108,2486,-0.0005455,1.0,30
True,141,2535,-0.0005301,1.1,30
True,123,2184,-0.0007149,0.0,40
True,54,2195,-0.0007009,0.1,40
True,68,2207,-0.0006872,0.2,40
True,95,2222,-0.0006737,0.30000000000000004,40
True,48,2239,-0.0006605,0.4,40
True,54,2258,-0.0006473,0.5,40
True,43,2278,-0.0006345,0.6000000000000001,40
True,85,2301,-0.0006219,0.7000000000000001,40
True,176,2325,-0.0006097,0.8,40
True,56,2351,-0.0005977,0.9,40
True,73,2379,-0.0005858,1.0,40
True,68,2409,-0.000574,1.1,40
True,67,2185,-0.0007155,0.0,50
True,88,2193,-0.0007043,0.1,50
True,35,2203,-0.0006933,0.2,50
True,173,2214,-0.0006824,0.30000000000000004,50
True,112,2226,-0.0006717,0.4,50
True,217,2240,-0.0006611,0.5,50
True,38,2254,-0.0006507,0.6000000000000001,50
True,58,2270,-0.0006403,0.7000000000000001,50
True,75,2287,-0.0006302,0.8,50
True,89,2305,-0.0006203,0.9,50
True,42,2325,-0.0006105,1.0,50
True,57,2346,-0.0006009,1.1,50
True,59,2186,-0.0007155,0.0,60
True,71,2193,-0.0007062,0.1,60
True,61,2201,-0.000697,0.2,60
True,37,2209,-0.000688,0.30000000000000004,60
True,60,2219,-0.000679,0.4,60
True,63,2229,-0.0006702,0.5,60
True,179,2241,-0.0006614,0.6000000000000001,60
True,71,2253,-0.0006527,0.7000000000000001,60
True,44,2266,-0.000644,0.8,60
True,173,2279,-0.0006355,0.9,60
False,499,2294,-0.0006271,1.0,60
True,36,2309,-0.0006189,1.1,60
